x y z dx dy dz magnitude
21.3982 26.7612 44.7372 -11.513 -4.10146 -21.2914 24.5499
13.2536 32.5282 30.3857 5.50674 -36.9785 -14.9625 40.2692
20.6501 20.156 9.91636 5.36361 0.814178 -14.2508 15.2485
8.47269 4.48405 20.2864 -11.8344 15.0326 -8.45206 20.9158
16.3186 24.1476 22.071 -8.05638 4.16518 9.27962 12.9756
20.4392 2.83294 6.57892 -8.58907 15.5895 -11.4002 21.1369
24.4323 -5.4673 22.0883 0.3485 35.3237 10.2738 36.789
20.6805 24.183 4.14312 -2.18429 -8.81369 1.45616 9.19634
23.6025 15.2243 5.1626 -1.48238 -2.29923 0.40761 2.76587
-0.477986 21.1168 8.71693 6.63672 12.2834 -5.61698 15.0492
6.62034 23.731 20.0951 -10.6387 -3.08872 4.15489 11.8316
16.7592 7.40025 13.9145 -15.9848 9.6255 -6.50231 19.7596
9.44574 14.7707 8.73618 4.17155 -18.3936 -14.9899 24.092
4.03572 30.8401 14.3217 -4.96414 -26.4438 -31.748 41.6156
26.1934 70.4303 17.9707 -2.39343 -63.556 -8.18908 64.126
18.8036 27.5375 22.8215 -11.5555 -11.7552 8.11123 18.3713
19.112 9.79267 -14.6787 -14.1151 10.2932 24.2935 29.9225
20.2406 6.36856 2.26761 13.3235 -10.1923 11.4711 20.322
18.5876 11.1111 20.789 -1.27735 -4.27327 2.093 4.92678
-3.32526 14.6701 46.0453 17.836 5.04167 -23.0209 29.5551
-1.60704 6.65608 3.32373 7.61413 -2.9518 -3.99961 9.09313
17.4727 7.79449 25.2887 16.5242 21.0648 3.29432 26.9746
5.67676 15.5922 18.095 -1.28797 16.2498 6.16544 17.4278
8.22281 17.1905 12.3365 13.0274 -11.0938 23.3379 28.9386
17.5115 22.0988 25.3359 -9.76718 -4.74193 -0.0417217 10.8575
20.3781 15.2995 2.81613 0.506548 -5.76682 -1.29093 5.93121
12.7347 45.2319 -4.24495 1.46248 -50.0312 8.19184 50.7185
18.4557 30.8611 11.6978 -11.6398 -8.66724 -2.23036 14.6827
17.0103 -5.7876 15.1583 -18.142 11.1853 -5.69113 22.0598
16.7802 32.2192 14.3359 -7.23855 -25.7295 -9.62907 28.4099
9.66492 11.9527 18.8242 6.97124 7.02841 -7.37061 12.3419
27.1393 -5.01684 17.7381 -44.2196 11.6969 -30.7524 55.1172
3.01615 19.2971 16.0391 2.28268 -5.92848 1.45903 6.51815
-1.24261 9.84244 -6.66409 16.7345 9.83504 9.60978 21.6591
15.1876 23.0551 30.9077 -8.8331 -8.29796 -11.4694 16.6861
17.9502 19.9258 3.43285 2.16606 -4.15319 4.21153 6.29903
33.15 24.2077 23.2674 -23.38 2.97641 -16.7381 28.9076
18.1125 13.6848 30.9231 -10.7545 -4.49125 -5.1224 12.7306
8.07918 7.38051 8.96465 1.05477 -1.57089 -3.56211 4.03347
19.7393 8.66764 9.21202 21.3791 21.3576 -1.8312 30.2748
20.6589 2.18349 5.50556 3.54792 3.28152 -0.825014 4.90273
8.99078 12.0424 -5.41266 10.4481 4.89122 9.26195 14.7943
19.3467 16.1293 29.0961 -9.54978 7.93035 -6.61674 14.0666
13.7983 7.99061 4.50876 -8.88627 5.81836 -8.71299 13.7381
5.2903 8.6554 11.6355 -4.63578 8.96193 -3.908 10.8203
18.6101 24.2469 8.45059 -9.34613 -5.92703 5.65751 12.4293
7.77658 17.3695 25.1499 3.6657 -9.56027 -3.18135 10.7218
27.79 18.4333 18.1633 -4.1494 -20.9696 -9.13046 23.2445
9.97571 20.1545 15.8502 6.15815 12.8453 -31.2395 34.3341
15.6137 18.0289 -5.69354 -1.63591 -10.8519 35.6778 37.3276
5.73824 -10.0234 6.33118 9.32546 28.1603 10.1866 31.3645
5.36879 8.67995 14.0533 -21.6536 6.42768 -6.42644 23.4839
0.702135 45.5123 43.2092 5.34462 -36.5335 -30.2274 47.7175
20.7757 3.95866 27.3659 9.50803 -9.50274 -14.6693 19.897
-1.02419 8.2501 21.4959 3.07439 2.09597 -0.749074 3.79554
24.0419 4.14117 16.3185 5.87682 1.44469 -4.20829 7.37115
5.52486 8.88713 13.3665 -1.2544 2.31496 5.29134 5.91023
28.4459 9.99002 20.0766 -9.32599 -4.65516 -16.158 19.2283
4.99721 12.837 17.6504 -0.852665 3.55183 -10.8496 11.448
20.5889 23.5793 15.2992 -6.26933 7.30571 -7.42021 12.1547
14.9549 -5.80108 9.44628 2.53665 11.1298 3.931 12.0731
16.9051 -1.46829 31.6866 -9.51196 13.3603 -9.01609 18.7153
22.7052 2.28594 19.8408 33.659 -3.72477 27.0751 43.3573
22.4365 21.7125 11.9005 -0.864533 0.747181 2.44573 2.6995
40.5931 7.67094 16.8031 -33.1232 32.5596 -7.27198 47.0123
10.3561 3.97734 23.6958 -2.0111 -5.88308 5.92234 8.58658
12.3043 8.31879 -4.92197 -0.881361 -0.217963 10.2414 10.2816
22.3702 3.76174 6.30084 -3.39817 -12.5491 -14.5402 19.505
25.9397 20.118 16.8324 -2.41042 10.1409 -32.748 34.3668
2.78885 20.0761 21.3134 4.62349 1.00115 0.864424 4.80897
29.1069 6.20025 11.0067 -6.7776 -7.77983 6.1598 12.0169
